time,base_x,base_y,base_z,base_qw,base_qx,base_qy,base_qz,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,-0.4088889188233269,0.0,0.0,0.5690678485531309,-0.16017892972980396,-0.0,-0.160178929729804,-0.0,0.0,0.5690678485531309,-0.4088889188233269,0.0,0.0,0.0,0.0,2.432966381462123,0.0,0.0,1.2076366601848045,0.0,0.0,0.0,-2.432966381462123,-0.0,0.0,1.2076366601848045,0.0,0.0,0.0
0.01,0.023999999999999997,0.0,0.919,1.0,0.0,0.0,0.0,-0.31024107112434723,0.0,0.0,0.3774847052690191,-0.06724363414467188,-0.0,-0.06724363414467187,-0.0,0.0,0.3774847052690191,-0.31024107112434723,0.0,0.0,0.0,0.0,2.4329663814621227,0.0,0.0,1.207636660184804,0.0,0.0,0.0,-2.4329663814621227,-0.0,0.0,1.207636660184804,0.0,0.0,0.0
0.02,0.047999999999999994,0.0,0.9380000000000001,1.0,0.0,0.0,0.0,-0.12031313623696534,0.0,0.0,0.0030860673054364796,0.11722706893152886,-0.0,0.11722706893152886,-0.0,0.0,0.0030860673054364796,-0.12031313623696534,0.0,0.0,0.0,0.0,2.432966381462123,0.0,0.0,1.2076366601848045,0.0,0.0,0.0,-2.432966381462123,-0.0,0.0,1.2076366601848045,0.0,0.0,0.0
0.03,0.072,0.0,0.9570000000000001,1.0,0.0,0.0,0.0,-0.11770384702541524,0.0,0.0,0.0030860673054364796,0.11461777971997876,-0.0,0.11461777971997875,-0.0,0.0,0.0030860673054364796,-0.11770384702541523,0.0,0.0,0.0,0.0,2.432966381462123,0.0,0.0,1.207636660184805,0.0,0.0,0.0,-2.432966381462123,-0.0,0.0,1.207636660184805,0.0,0.0,0.0
0.04,0.09599999999999999,0.0,0.976,1.0,0.0,0.0,0.0,-0.11520625779649435,0.0,0.0,0.0030860673054364796,0.11212019049105787,-0.0,0.1121201904910579,-0.0,0.0,0.0030860673054364796,-0.11520625779649438,0.0,0.0,0.0,0.0,2.4329663814621227,0.0,0.0,1.207636660184804,0.0,0.0,0.0,-2.4329663814621227,-0.0,0.0,1.207636660184804,0.0,0.0,0.0
0.05,0.12,0.0,0.9950000000000001,1.0,0.0,0.0,0.0,-0.11281337553458097,0.0,0.0,0.0030860673054364796,0.10972730822914449,-0.0,0.10972730822914449,-0.0,0.0,0.0030860673054364796,-0.11281337553458097,0.0,0.0,0.0,0.0,2.4329663814621227,0.0,0.0,1.207636660184804,0.0,0.0,0.0,-2.4329663814621227,-0.0,0.0,1.207636660184804,0.0,0.0,0.0
0.06,0.144,0.0,1.014,1.0,0.0,0.0,0.0,-0.11051877670919731,0.0,0.0,0.0030860673054364796,0.10743270940376083,-0.0,0.10743270940376083,-0.0,0.0,0.0030860673054364796,-0.11051877670919731,0.0,0.0,0.0,0.0,2.432966381462123,0.0,0.0,1.207636660184805,0.0,0.0,0.0,-2.432966381462123,-0.0,0.0,1.207636660184805,0.0,0.0,0.0
0.07,0.168,0.0,1.0330000000000001,1.0,0.0,0.0,0.0,-0.10831655068572923,0.0,0.0,0.0030860673054364796,0.10523048338029276,-0.0,0.10523048338029276,-0.0,0.0,0.0030860673054364796,-0.10831655068572923,0.0,0.0,0.0,0.0,2.432966381462123,0.0,0.0,1.207636660184805,0.0,0.0,0.0,-2.432966381462123,-0.0,0.0,1.207636660184805,0.0,0.0,0.0
0.08,0.19199999999999998,0.0,1.052,1.0,0.0,0.0,0.0,-0.10620124972677246,0.0,0.0,0.0030860673054364796,0.10311518242133598,-0.0,0.10311518242133598,-0.0,0.0,0.0030860673054364796,-0.10620124972677246,0.0,0.0,0.0,0.0,2.4329663814621227,0.0,0.0,1.207636660184804,0.0,0.0,0.0,-2.4329663814621227,-0.0,0.0,1.207636660184804,0.0,0.0,0.0
0.09,0.21599999999999997,0.0,1.0710000000000002,1.0,0.0,0.0,0.0,-0.1041678447090356,0.0,0.0,0.0030860673054364796,0.10108177740359912,-0.0,0.1010817774035991,-0.0,0.0,0.0030860673054364796,-0.10416784470903558,0.0,0.0,0.0,0.0,2.4329663814621227,0.0,0.0,1.207636660184804,0.0,0.0,0.0,-2.4329663814621227,-0.0,0.0,1.207636660184804,0.0,0.0,0.0
0.1,0.24,0.0,1.09,1.0,0.0,0.0,0.0,-0.10221168581054713,0.0,0.0,0.0030860673054364796,0.09912561850511065,-0.0,0.09912561850511062,-0.0,0.0,0.0030860673054364796,-0.1022116858105471,0.0,0.0,0.0,0.0,2.432966381462123,0.0,0.0,1.207636660184805,0.0,0.0,0.0,-2.432966381462123,-0.0,0.0,1.207636660184805,0.0,0.0,0.0
0.11,0.24,0.0,1.09,1.0,0.0,0.0,0.0,-0.10221168581054713,0.0,0.0,0.0030860673054364796,0.09912561850511065,-0.0,0.09912561850511062,-0.0,0.0,0.0030860673054364796,-0.1022116858105471,0.0,0.0,0.0,0.0,2.432966381462123,0.0,0.0,1.207636660184805,0.0,0.0,0.0,-2.432966381462123,-0.0,0.0,1.207636660184805,0.0,0.0,0.0
